zamowienie_id;klient_id;data_zamowienia;data_zrealizowania;koszt_zamowienie;
1;1;2019-01-01;2019-01-02;320;
2;2;2019-01-02;2019-01-03;365;
3;3;2019-01-03;2019-01-04;310;
4;4;2019-01-04;2019-01-05;130;
5;5;2019-01-05;2019-01-06;50;
6;6;2019-01-06;2019-01-07;300;
7;7;2019-01-07;2019-01-08;60;
8;8;2019-01-08;2019-01-09;215;
9;9;2019-01-09;2019-01-10;190;
10;10;2019-01-10;2019-01-11;460;
11;1;2019-01-11;2019-01-12;40;
12;2;2019-01-12;;90;
13;3;2019-01-13;;40;
14;4;2019-01-14;;40;
15;5;2019-01-15;;160;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
